# X0 Y0 Z0 sigma0 atan step X Y Z sigma
194 -288 -705881 1 455424 0 482 -94 -1161305 0
81 151 1764188 1 693028 14 81 151 1071160 1
455 -227 -480272 1 2527833 5 463 -213 -3008105 0
408 80 1458194 1 1128485 15 408 80 329709 1
-232 133 -261806 1 308704 14 -232 132 -570510 0
72 -319 -1295776 0 2921558 11 71 -319 1625782 1
46 -120 1459418 0 221598 0 -74 -166 1681016 1
-331 407 -820045 1 1278870 9 -331 406 -2098915 0
-381 -440 1274807 1 309930 4 -353 -464 964877 1
-190 278 -1792031 0 3717056 0 88 468 1925025 1
230 -121 328886 1 4128947 7 231 -120 -3800061 0
-452 -322 -1496215 0 2228031 3 -493 -265 731816 1
-197 -51 1594319 1 336862 10 -196 -52 1257457 1
321 321 489074 0 1146973 14 321 321 1636047 1
465 -512 -236794 1 3498191 15 466 -512 -3734985 0
-233 382 549365 1 1498565 4 -256 367 -949200 0
-243 -66 1884397 1 667012 3 -234 -97 1217385 1
-217 -504 820802 0 2765349 10 -218 -503 3586151 1
-173 -186 -125510 0 2880296 11 -174 -185 2754786 1
329 317 -777029 1 1415048 11 329 317 -2192077 0
235 200 -429118 1 828589 3 210 229 -1257707 0
-20 -252 1372063 0 1110815 3 -52 -249 2482878 1
126 -124 -515032 1 375908 0 250 2 -890940 0
-380 -510 412625 0 2545206 15 -381 -509 2957831 1
30 218 -1702702 0 1848334 5 36 218 145632 1
-65 161 632247 0 3032589 10 -65 162 3664836 1
146 255 -1819346 0 1924895 14 146 255 105549 1
-104 -378 -566271 1 35663 6 -98 -380 -601934 0
243 -446 254406 0 3843450 15 242 -446 4097856 1
2 161 -2071890 1 1190724 13 2 161 -3262614 0
497 210 1245442 1 2305925 10 497 210 -1060483 0
24 -359 -87700 1 2112094 5 36 -359 -2199794 0
-185 80 714978 0 975211 8 -185 81 1690189 1
-14 326 -998013 0 3164013 4 6 327 2166000 1
349 405 -424891 1 2921157 11 349 405 -3346048 0
21 315 -1672632 1 852302 14 21 315 -2524934 0
35 -55 492698 0 1212402 4 31 -57 1705100 1
-41 -366 138473 1 2545882 5 -29 -368 -2407409 0
168 172 1134011 0 2304574 5 173 167 3438585 1
-41 278 -580296 1 3325528 4 -58 275 -3905824 0
-263 -301 589109 1 1644539 13 -262 -302 -1055430 0
252 81 1296517 0 2550267 6 253 78 3846784 1
-486 -492 1670051 0 959922 6 -494 -484 2629973 1
123 -296 -2023139 0 3439993 0 -173 -419 1416854 1
-300 237 1321629 1 3446218 5 -307 227 -2124589 0
457 352 662352 0 3077364 7 459 349 3739716 1
-341 -255 -1730354 0 843423 5 -349 -244 -886931 0
-287 377 -593740 1 2900447 4 -310 359 -3494187 0
325 138 1853823 1 3323008 0 187 463 -1469185 0
-331 382 -1513566 0 4016767 2 -236 465 2503201 1
210 102 -1857616 0 4077809 13 210 102 2220193 1
42 375 967284 1 4154090 1 -145 396 -3186806 0
4 26 295920 0 1048107 6 4 26 1344027 1
225 238 1160677 0 2174002 8 225 238 3334679 1
-498 -349 -1314917 1 2660171 15 -497 -350 -3975088 0
464 -162 954938 1 2688030 14 465 -162 -1733092 0
334 406 -45732 0 1359226 6 340 401 1313494 1
-35 161 -2006130 1 1283682 6 -37 160 -3289812 0
-356 418 -1305401 1 1641111 4 -382 395 -2946512 0
357 45 -1256319 0 3058801 10 357 45 1802482 1
-188 209 -1639329 0 2021994 4 -175 221 382665 1
-222 -285 -777457 0 1202547 1 -365 -174 425090 1
38 202 1118813 0 597658 8 38 202 1716471 1
-90 440 1100504 0 2492975 15 -90 441 3593479 1
377 7 1349617 0 2116148 11 377 7 3465765 1
-474 433 322372 1 951412 5 -487 418 -629040 0
395 -192 1295557 1 1840032 6 398 -186 -544475 0
309 -427 693 1 2089824 2 416 -350 -2089131 0
-300 -69 714658 1 2004793 4 -295 -88 -1290135 0
452 -49 -107236 1 3363366 10 453 -49 -3470602 0
-133 -11 7306 0 2347943 15 -134 -10 2355249 1
25 -437 1022767 1 2467547 8 27 -437 -1444780 0
428 -117 -459039 0 3033293 8 427 -118 2574254 1
-293 154 1868690 0 2214826 9 -293 155 4083516 1
273 101 -1599802 1 1686832 2 248 169 -3286634 0
280 468 -947372 0 2213994 3 338 433 1266622 1
-334 -134 44518 1 3999626 2 -300 -218 -3955108 0
437 -396 1268785 1 1863837 3 487 -342 -595052 0
408 -29 1787187 1 4090603 10 409 -29 -2303416 0
-348 -156 -32217 1 2742640 4 -338 -178 -2774857 0
-411 -42 -236387 1 160816 9 -410 -43 -397203 0
-229 198 -1978599 1 1722413 8 -229 197 -3701012 0
444 -90 99318 0 1396757 13 443 -90 1496075 1
455 242 1406078 0 1096244 7 456 239 2502322 1
156 -277 -2001376 0 1867274 6 151 -279 -134102 0
-344 88 -519751 1 2177172 0 -432 -256 -2696923 0
-55 53 -1387733 1 506056 4 -58 49 -1893789 0
189 -193 -844218 1 1780431 5 196 -188 -2624649 0
396 430 117544 0 2194336 2 503 331 2311880 1
-11 -306 5861 1 4056998 9 -10 -307 -4051137 0
53 311 1672128 0 1551187 14 53 311 3223315 1
-141 -288 -567576 0 670624 5 -150 -283 103048 1
-259 -499 1976247 1 2954147 8 -257 -501 -977900 0
452 -154 218081 1 1469502 15 453 -154 -1251421 0
229 282 1425717 1 3574276 4 212 296 -2148559 0
-19 -367 -1099175 0 3048023 4 -42 -365 1948848 1
189 -251 603103 1 140492 10 190 -251 462611 1
278 11 1619884 1 3184790 9 278 11 -1564906 0
-213 -128 1577823 1 1494661 7 -212 -130 83162 1
340 331 -260122 0 1286899 11 340 331 1026777 1
-393 -411 -697712 0 2976949 13 -394 -410 2279237 1
146 503 -1110599 1 2519946 6 139 505 -3630545 0
183 -484 -906294 1 882219 3 244 -462 -1788513 0
28 -457 412158 0 275887 8 26 -457 688045 1
-171 166 745159 1 612415 13 -171 165 132744 1
285 -307 451965 0 371444 6 280 -311 823409 1
340 303 -1725482 1 1347255 2 265 388 -3072737 0
260 -312 -565080 1 614021 12 261 -312 -1179101 0
240 -306 -904582 1 2128212 5 250 -299 -3032794 0
6 -288 117862 1 862408 10 7 -288 -744546 0
206 -74 -334479 0 1705558 3 196 -99 1371079 1
301 401 1070732 0 2999219 15 301 401 4069951 1
-395 -109 1541778 1 1457135 12 -394 -110 84643 1
-65 -102 263370 1 2013810 8 -64 -103 -1750440 0
193 178 1494422 1 1488279 12 193 178 6143 1
-116 -149 383699 1 4025214 12 -115 -150 -3641515 0
335 -9 519771 1 498980 11 336 -9 20791 1
-270 -381 -1594859 1 1636905 3 -222 -415 -3231764 0
200 -468 1962082 0 152334 8 198 -468 2114416 1
164 115 829235 1 1269142 9 164 115 -439907 0
-317 202 1513561 1 1915252 13 -317 201 -401691 0
-209 383 -1236242 0 1706525 1 -18 488 470283 1
-50 310 -1841722 1 1246525 11 -50 309 -3088247 0
-375 1 1548243 1 2067015 6 -375 -5 -518772 0
-212 280 -229656 0 2568800 13 -212 281 2339144 1
-486 248 355712 1 2073644 5 -493 232 -1717932 0
-34 -240 131537 0 73297 13 -35 -239 204834 1
-497 -254 -266899 1 528518 11 -496 -255 -795417 0
49 -78 412835 0 824383 7 48 -78 1237218 1
367 35 277491 1 1955032 14 367 35 -1677541 0
51 -447 1515716 0 370929 14 50 -447 1886645 1
-495 25 969642 1 19767 4 -496 -6 949875 1
154 255 -1808497 1 1954469 7 153 256 -3762966 0
-228 360 683724 0 2161126 1 -48 474 2844850 1
326 -308 -926059 0 1200856 3 287 -348 274797 1
80 280 -1024235 1 2374666 3 45 290 -3398901 0
-165 -299 1088378 1 843608 6 -160 -302 244770 1
-229 429 -1639911 0 1905667 3 -176 458 265756 1
-310 66 -171195 0 4170162 2 -294 144 3998967 1
320 -478 -519406 1 1511223 14 321 -478 -2030629 0
271 509 -914865 1 2255367 8 270 510 -3170232 0
357 46 1729429 1 3391633 14 357 46 -1662204 0
-190 -180 -586438 0 848230 1 -280 -85 261792 1
114 -33 -930891 1 2249584 12 115 -33 -3180475 0
-93 -419 -2003910 1 794201 10 -92 -420 -2798111 0
20 69 664599 1 2048585 0 -49 89 -1383986 0
-343 172 -386598 1 2069233 15 -343 171 -2455831 0
-401 142 340539 1 949785 11 -401 141 -609246 0
138 507 1785034 1 2837335 13 138 507 -1052301 0
48 -127 -1614612 0 3766610 6 46 -127 2151998 1
289 398 -984962 0 3842005 2 388 326 2857043 1
-420 209 1572143 1 1734131 15 -420 208 -161988 0
-344 -222 979013 1 956947 2 -288 -308 22066 1
464 -475 1960739 1 1772623 14 465 -475 188116 1
-498 -348 -760806 1 1890238 9 -497 -349 -2651044 0
-33 383 -1439826 1 479725 14 -33 382 -1919551 0
-340 229 -1538494 1 1687532 5 -347 218 -3226026 0
-364 207 -1466880 0 3366501 8 -364 209 1899621 1
501 -288 1180041 1 95292 8 503 -287 1084749 1
-365 -16 1485933 1 582167 11 -364 -17 903766 1
-458 278 -1447459 0 2040691 2 -389 393 593232 1
-470 -271 1469712 1 4073130 14 -469 -272 -2603418 0
141 -437 926368 1 2340154 7 145 -436 -1413786 0
-255 97 -461284 0 1794953 10 -255 98 1333669 1
385 -445 742717 0 3323053 15 384 -445 4065770 1
-165 -29 1777073 1 2661454 5 -164 -35 -884381 0
-69 362 1876304 1 3600095 13 -69 361 -1723791 0
337 -345 892790 0 1162593 9 336 -345 2055383 1
-157 381 -760181 1 3049388 10 -157 380 -3809569 0
158 319 -124849 0 1107689 3 197 300 982840 1
-281 -435 -1846559 0 1951810 6 -288 -430 105251 1
-281 -345 -12323 1 2365337 7 -278 -348 -2377660 0
169 -422 795019 0 3007548 13 168 -422 3802567 1
11 266 -1312013 1 1567003 2 -55 268 -2879016 0
346 30 -1421215 1 2529688 1 331 203 -3950903 0
230 -228 51983 1 18841 15 231 -228 33142 1
190 -162 -1149247 1 88590 10 191 -162 -1237837 0
-476 129 2041357 1 2972027 9 -476 128 -930670 0
133 -348 1661071 1 2321045 11 134 -348 -659974 0
231 364 -661443 1 3135224 12 231 364 -3796667 0
-312 505 570021 1 1342818 11 -312 504 -772797 0
-204 32 1356432 0 2801355 12 -204 33 4157787 1
151 -457 1539836 1 799600 3 209 -439 740236 1
-334 -144 1268916 0 1585341 0 -478 190 2854257 1
-88 -83 251104 0 13097 6 -90 -81 264201 1
209 186 1296068 0 604861 6 211 183 1900929 1
281 188 1239324 0 1659392 0 469 -93 2898716 1
-503 75 686011 0 3051186 1 -466 327 3737197 1
-238 -442 -490022 0 2182824 7 -242 -440 1692802 1
-48 -416 814178 0 2343084 11 -49 -415 3157262 1
283 45 -1235187 1 1176520 0 238 328 -2411707 0
311 -97 923540 0 2788421 12 310 -97 3711961 1
114 94 1436027 1 2454476 14 114 94 -1018449 0
276 100 2056791 1 316641 4 270 117 1740150 1
-319 489 1804792 1 758831 5 -334 479 1045961 1
48 -347 -1138213 1 49431 1 222 -323 -1187644 0
-303 162 -1359923 0 2887282 0 -141 465 1527359 1
-497 407 126927 1 3569299 9 -497 406 -3442372 0
-265 -149 -895395 0 2926929 2 -303 -82 2031534 1
-261 -332 909095 1 2960191 15 -260 -333 -2051096 0
221 223 -1367981 0 1904816 10 221 223 536835 1
-285 127 1390458 0 1545188 2 -254 199 2935646 1
479 -504 -195206 0 3765455 11 478 -504 3570249 1
160 113 -900280 0 525149 5 163 108 -375131 0
-61 270 1410827 1 1796309 14 -61 269 -385482 0
-153 -497 1021085 0 797170 2 -278 -458 1818255 1
-219 285 364369 1 3722476 14 -219 284 -3358107 0
61 170 92810 1 830879 14 61 170 -738069 0
295 -95 998922 0 1791021 5 292 -104 2789943 1
-235 -123 965319 0 1477850 0 -358 112 2443169 1
156 500 -10190 1 966264 6 149 502 -976454 0
174 316 -157203 1 154908 11 174 316 -312111 0
511 -202 -1200529 0 3371463 11 510 -202 2170934 1
-315 -295 -698316 0 484557 5 -325 -285 -213759 0
-220 42 1448991 1 2344614 10 -220 41 -895623 0
357 464 -1597768 0 2181106 11 357 464 583338 1
-431 -37 -176108 1 281654 5 -429 -51 -457762 0
444 399 -1750118 0 598210 14 444 399 -1151908 0
-83 97 1837553 0 879590 8 -83 98 2717143 1
252 -37 1430354 1 2783834 6 253 -34 -1353480 0
241 49 843236 1 2426879 13 241 49 -1583643 0
372 -198 176288 0 2118331 13 371 -198 2294619 1
220 -452 -1819017 0 2144766 12 219 -452 325749 1
142 -453 -83707 1 1411140 9 143 -453 -1494847 0
-435 507 -1410005 1 90136 8 -436 505 -1500141 0
-100 404 746793 1 448435 12 -100 403 298358 1
245 -394 1149024 1 1771126 9 246 -394 -622102 0
419 -276 617745 1 4038340 11 420 -276 -3420595 0
425 -392 1026024 0 1207365 4 400 -418 2233389 1
24 -171 541648 1 3363165 6 27 -171 -2821517 0
-309 -205 287091 1 3994220 8 -308 -207 -3707129 0
-245 -257 1555706 1 1733448 1 -116 -380 -177742 0
419 -161 964717 0 2827482 10 418 -161 3792199 1
-127 176 1968264 0 1343202 7 -126 177 3311466 1
377 147 1241542 1 1145526 8 377 148 96016 1
98 470 -1260480 1 2452640 6 91 471 -3713120 0
93 -36 -1549178 1 386060 13 94 -36 -1935238 0
133 -126 -970703 0 1914481 3 117 -142 943778 1
-12 -509 -1104251 0 1597608 8 -14 -508 493357 1
5 -162 2015019 1 646935 15 6 -162 1368084 1
23 331 902880 0 2440038 9 23 331 3342918 1
382 309 428538 1 1934945 1 228 500 -1506407 0
64 -487 -2028107 0 2693163 2 -58 -503 665056 1
106 242 -1261576 0 598779 9 106 242 -662797 0
-247 -315 -890017 1 2369297 1 -89 -439 -3259314 0
-356 -420 630272 1 1309490 10 -355 -421 -679218 0
-63 -501 323869 1 3356790 15 -62 -502 -3032921 0
-175 -113 -1880859 0 880126 7 -176 -111 -1000733 0
-261 8 -2029199 0 1233802 10 -261 9 -795397 0
128 168 -1236201 0 1762845 2 170 136 526644 1
490 -182 1595232 1 3834572 5 496 -167 -2239340 0
-302 181 683038 0 1895306 3 -280 219 2578344 1
184 -329 1131670 1 3476429 1 349 -237 -2344759 0
102 -338 648159 0 1441129 0 -236 -440 2089288 1
-475 4 -668622 0 2858316 10 -475 5 2189694 1
315 300 1828580 1 2293142 13 315 300 -464562 0
-306 -39 -466558 0 1396863 1 -326 114 930305 1
-173 170 266958 1 2971220 6 -175 167 -2704262 0
286 192 1750358 1 2211464 10 286 192 -461106 0
-389 447 1848911 0 612262 8 -388 449 2461173 1
227 86 1607012 0 587505 11 227 86 2194517 1
-26 -399 -2096799 0 3194760 0 -425 -373 1097961 1
365 490 1586166 1 2630560 12 365 490 -1044394 0
219 -363 -1163246 0 3050474 15 218 -363 1887228 1
-176 -55 1409962 1 3080987 0 -121 -231 -1671025 0
416 158 1741208 1 2710262 10 416 158 -969054 0
-211 -19 626363 1 4156042 1 -201 -125 -3529679 0
213 340 -1786173 1 1960790 1 43 446 -3746963 0
-196 -198 464145 0 462607 15 -197 -197 926752 1
-88 374 -1872635 1 664795 9 -88 373 -2537430 0
475 230 -487163 1 1353769 13 475 230 -1840932 0
341 -174 1320381 0 2515868 1 254 -344 3836249 1
-17 172 -314422 0 1550310 7 -16 173 1235888 1
314 207 -1054509 1 280999 6 311 211 -1335508 0
172 78 381201 1 689125 11 172 78 -307924 0
402 245 322403 1 3233881 5 395 257 -2911478 0
-317 253 914435 1 2258765 6 -320 248 -1344330 0
142 -498 -422157 0 756213 8 140 -498 334056 1
-217 -490 186143 0 2951723 3 -279 -462 3137866 1
231 331 528706 0 1390249 14 231 331 1918955 1
268 140 852787 0 1999552 5 272 132 2852339 1
114 -278 238689 0 784977 2 44 -306 1023666 1
375 -159 585399 0 1644285 15 374 -159 2229684 1
-348 -104 -993759 1 3083113 12 -347 -105 -4076872 0
-420 276 -132982 0 3487643 9 -420 277 3354661 1
484 -461 1794468 1 3642774 14 485 -461 -1848306 0
438 -134 230044 1 1573467 14 439 -134 -1343423 0
74 -494 1105825 1 3840579 13 75 -494 -2734754 0
148 -261 1640289 0 735317 1 17 -335 2375606 1
321 -40 -410826 1 201026 7 322 -38 -611852 0
-216 409 -1278582 1 1213705 1 -420 301 -2492287 0
97 -7 1659179 1 3958151 6 98 -6 -2298972 0
21 433 -463736 0 1662384 6 27 433 1198648 1
-362 -503 1833745 1 2582345 7 -358 -506 -748600 0
437 481 -1110029 0 1815507 3 497 427 705478 1
-417 284 -1189930 0 4084299 2 -346 389 2894369 1
-168 -395 1758691 0 1751898 7 -172 -393 3510589 1
296 56 -1680433 1 893097 13 296 56 -2573530 0
237 160 -923399 1 2647832 7 236 161 -3571231 0
-248 -412 -1946470 0 3877244 15 -249 -411 1930774 1
258 218 243306 0 2350681 0 476 -40 2593987 1
-346 -232 171481 0 84803 5 -354 -221 256284 1
485 -323 855348 0 3027895 7 482 -326 3883243 1
53 -85 646594 1 3910785 10 54 -85 -3264191 0
97 464 1834172 0 2254848 10 97 464 4089020 1
322 164 1853577 1 1384976 7 321 166 468601 1
417 48 276448 0 979664 6 417 42 1256112 1
330 -444 -410571 0 728153 14 329 -444 317582 1
-202 -139 1095408 0 2048182 1 -272 -38 3143590 1
272 -52 -868155 0 1656682 1 246 -188 788527 1
448 246 -293417 0 3831212 7 449 243 3537795 1
206 -382 692273 1 281405 14 207 -382 410868 1
106 245 447969 1 3939744 4 91 251 -3491775 0
169 -397 320460 1 1378983 11 170 -397 -1058523 0
123 -369 1011593 1 1467224 14 124 -369 -455631 0
472 -423 -1974707 0 669038 8 470 -424 -1305669 0
75 412 -1683873 0 1339753 12 75 412 -344120 0
-419 191 1263055 1 2030278 10 -419 190 -767223 0
257 313 -231762 1 3013422 3 218 345 -3245184 0
-422 -6 -504668 0 23719 15 -423 -5 -480949 0
-107 220 -523479 0 1007541 6 -104 222 484062 1
469 43 -1358776 0 989092 15 469 43 -369684 0
87 -310 -480424 0 1676683 5 77 -312 1196259 1
-452 486 -1213396 0 3230620 5 -437 501 2017224 1
-394 -497 -19921 1 3345380 10 -393 -498 -3365301 0
-131 -267 1636604 1 2729355 11 -130 -268 -1092751 0
-456 1 228302 0 3053344 1 -456 229 3281646 1
249 -298 -303109 1 2551854 14 250 -298 -2854963 0
368 -265 -771070 0 1847975 7 365 -267 1076905 1
148 173 905221 0 3176651 11 148 173 4081872 1
-201 440 8610 0 2083502 4 -174 453 2092112 1
-343 175 -746513 0 136857 1 -256 347 -609656 0
-352 -334 182476 1 1523413 12 -351 -335 -1340937 0
-407 369 1424516 1 3295867 3 -453 318 -1871351 0
327 -354 1211224 0 926839 8 325 -355 2138063 1
-215 225 -624175 1 122867 12 -215 224 -747042 0
-66 -144 -636448 1 2871943 6 -63 -146 -3508391 0
22 -267 -1476898 0 3193120 6 17 -267 1716222 1
13 422 -1434209 0 994084 11 13 422 -440125 0
28 -129 -49828 0 3864599 15 27 -129 3814771 1
187 -142 -257679 0 3744524 0 45 -329 3486845 1
143 -332 -481059 1 2431302 13 144 -332 -2912361 0
-295 -343 -1033670 1 2286226 15 -294 -344 -3319896 0
-339 327 -1221941 0 1904677 10 -339 328 682736 1
-433 -213 -1750450 1 746560 11 -432 -214 -2497010 0
192 -219 -1134117 1 1061458 3 220 -195 -2195575 0
-126 -163 -153954 1 266324 10 -125 -164 -420278 0
